Report_Year,Comm_Dist_Boro,FAM_DIR,FAM_Fel_Assault ,DV_Fel_Assault ,FAM_Rape ,DV_Rape ,totals
2017,Bronx,42766,1578,4552,96,256,51265
2017,Brooklyn,52554,1908,4962,114,306,61861
2017,Manhattan,25742,762,2160,50,150,30881
2017,Queens,32678,1278,3494,94,252,39813
2017,Staten Island,9368,218,596,30,42,12271
2018,Bronx,72450,2851,7594,237,510,85660
2018,Brooklyn,25788,1031,2588,97,212,31734
2018,Manhattan,26702,728,2180,60,204,31892
2018,Queens,33164,1502,3712,128,358,40882
2018,Staten Island,9220,198,520,28,74,12058
2019,Bronx,52874,2131,6679,190,522,64415
2019,Brooklyn,19524,733,2169,72,200,24717
2019,Manhattan,20654,688,2090,68,184,25703
2019,Queens,27818,1334,3636,102,366,35275
2019,Staten Island,7082,178,470,20,56,9825
2020,Bronx,47324,1977,6571,135,417,58444
2020,Brooklyn,17868,669,2043,43,155,22798
2020,Manhattan,18594,518,1822,28,118,23100
2020,Queens,27714,1132,3596,72,262,34796
2020,Staten Island,5964,176,500,12,26,8698